dataset,dataset_type,default,old,default_post,old_post
drjohnson,exposure,4.520146203444127,3.416000595796191,4.520147915871159,3.415997921228157
drjohnson,edge,5.667872326394758,4.378850895379517,5.667867743686976,4.378847620701405
drjohnson,both,5.686121127518988,,5.686123096492568,
drjohnson,,4.180163756031681,3.167789709692053,4.180161821526254,3.16778763809113
playroom,exposure,3.711174244346116,2.682036531785364,3.7111746040814304,2.6820371684792272
playroom,edge,4.603946592839218,2.9960305279466963,4.603946083458543,2.9960317163058376
playroom,both,4.730634754601069,3.160230058969737,4.730630786396545,3.160232650080628
playroom,,3.5428164863895977,2.492330034788566,3.542815923466414,2.492330459619044
train,exposure,5.984754689022638,5.4042455113420695,5.98475420277869,5.404248016120119
train,edge,6.504921728844115,6.009214383828885,6.504920329219777,6.009218803785825
train,both,6.314077207920599,5.719351825772945,6.314080133805254,5.719349944447051
train,,5.757236663120171,5.269175368594299,5.757240690126999,5.269172033448283
images_dark,exposure,3.735277970099281,4.169176305868732,3.7352781169517,4.169176152382007
images_dark,edge,2.8492479789890077,2.6940328659408284,2.8492479788350704,2.694033415770989
images_dark,both,4.306136509637271,4.3362951629902255,4.306137325570406,4.336294544273905
images_dark,,,,,
truck,exposure,5.466053684126315,4.597342812323338,5.466051689368903,4.597341645668098
truck,edge,6.141137873681184,5.6087825429650255,6.141138447169441,5.608782929809824
truck,both,5.657014667457321,5.475937315534698,5.657037773793048,5.475938713494841
truck,,5.911258007780602,4.976088296122832,5.911254829918633,4.976086532178507
bin_new_medium,exposure,6.271009506255661,4.686794873951236,6.271003165191107,4.686793477422018
bin_new_medium,edge,4.916176742523717,4.193777185096189,4.916174667535343,4.193775283424436
bin_new_medium,both,6.512424059863324,5.4817364514334095,6.512423085904572,5.481731523827311
bin_new_medium,,3.4397683016912306,2.456793559754422,3.439768666785696,2.4567830897176446
pingpong,exposure,4.4423309897465,3.058488950355609,4.44233660454378,3.058491097560148
pingpong,edge,4.734453980905223,2.9489207544168705,4.7344548792848204,2.948906991140502
pingpong,both,5.032225797327891,4.794276833284947,5.032225713933278,4.794277695011797
pingpong,,3.542713101346781,2.468614214760212,3.542716162098318,2.4687554480704583
bin_new_dark,exposure,4.093204475037282,3.994596839088573,4.093204804637715,3.994594628950261
bin_new_dark,edge,3.414081433516352,3.3506016062804465,3.4140742456187025,3.3505963522714404
bin_new_dark,both,5.163423714739189,4.565860904200063,5.16342307750681,4.56584367451317
bin_new_dark,,,,,
