,Predicted_MOS
both_drjohnson_input,5.686121127518988
both_playroom_input_post,4.730630786396545
train_input,5.757236663120171
edge_images_dark_input,2.8492479789890073
edge_truck_input_post,6.141138447169441
exposure_truck_input,5.466053684126315
both_bin_new_medium_input,6.512424059863324
exposure_playroom_old_input,2.682036531785364
train_old_input,5.269175368594299
edge_bin_new_dark_old_input_post,3.3505963522714404
playroom_input,3.5428164863895977
exposure_bin_new_dark_old_input_post,3.994594628950261
exposure_drjohnson_old_input_post,3.415997921228157
exposure_truck_input_post,5.466051689368903
edge_bin_new_dark_old_input,3.3506016062804465
exposure_bin_new_dark_old_input,3.994596839088573
exposure_train_input_post,5.98475420277869
pingpong_input,3.542713101346781
exposure_images_dark_old_input,4.169176305868732
exposure_images_dark_input_post,3.7352781169516995
both_pingpong_old_input_post,4.794277695011797
exposure_bin_new_medium_input_post,6.271003165191107
both_pingpong_input,5.032225797327891
edge_pingpong_input_post,4.7344548792848204
edge_drjohnson_old_input,4.378850895379517
edge_playroom_input_post,4.603946083458543
exposure_train_old_input_post,5.404248016120119
both_bin_new_medium_old_input_post,5.481731523827311
exposure_truck_old_input_post,4.597341645668098
exposure_pingpong_old_input_post,3.058491097560148
truck_input_post,5.911254829918633
pingpong_old_input,2.468614214760212
bin_new_medium_input,3.4397683016912306
drjohnson_input,4.180163756031681
edge_bin_new_medium_old_input,4.193777185096189
edge_images_dark_old_input_post,2.694033415770989
both_images_dark_input_post,4.306137325570406
edge_images_dark_input_post,2.8492479788350704
edge_playroom_old_input_post,2.9960317163058376
truck_old_input_post,4.976086532178507
pingpong_input_post,3.542716162098318
edge_pingpong_input,4.734453980905223
both_playroom_input,4.730634754601069
exposure_bin_new_dark_input,4.093204475037282
both_bin_new_medium_old_input,5.4817364514334095
both_bin_new_dark_old_input,4.565860904200063
exposure_drjohnson_old_input,3.416000595796191
both_pingpong_old_input,4.794276833284947
both_images_dark_old_input,4.3362951629902255
edge_drjohnson_input_post,5.667867743686976
playroom_old_input,2.492330034788566
both_train_input_post,6.314080133805254
edge_train_old_input_post,6.009218803785825
exposure_bin_new_medium_old_input,4.686794873951236
train_input_post,5.757240690126999
both_images_dark_old_input_post,4.336294544273905
both_truck_input_post,5.657037773793048
edge_bin_new_medium_input_post,4.916174667535343
exposure_drjohnson_input_post,4.520147915871159
exposure_pingpong_input_post,4.44233660454378
both_bin_new_dark_input_post,5.16342307750681
both_train_old_input,5.719351825772945
both_playroom_old_input,3.160230058969737
both_truck_old_input_post,5.475938713494841
edge_images_dark_old_input,2.6940328659408284
exposure_playroom_input_post,3.7111746040814304
playroom_input_post,3.542815923466414
exposure_pingpong_old_input,3.058488950355609
edge_truck_input,6.141137873681184
bin_new_medium_old_input,2.456793559754422
edge_bin_new_medium_input,4.916176742523717
edge_truck_old_input,5.6087825429650255
edge_bin_new_medium_old_input_post,4.1937752834244355
pingpong_old_input_post,2.4687554480704583
both_truck_input,5.657014667457321
train_old_input_post,5.269172033448283
edge_train_input_post,6.504920329219777
exposure_train_old_input,5.4042455113420695
edge_playroom_input,4.603946592839218
both_playroom_old_input_post,3.160232650080628
bin_new_medium_input_post,3.439768666785696
edge_train_old_input,6.009214383828885
drjohnson_old_input_post,3.16778763809113
truck_input,5.911258007780602
both_bin_new_medium_input_post,6.512423085904572
exposure_bin_new_medium_old_input_post,4.686793477422018
drjohnson_input_post,4.180161821526254
exposure_images_dark_input,3.735277970099281
playroom_old_input_post,2.4923304596190436
both_drjohnson_input_post,5.686123096492568
edge_pingpong_old_input,2.9489207544168705
both_bin_new_dark_input,5.163423714739189
both_truck_old_input,5.475937315534698
both_bin_new_dark_old_input_post,4.56584367451317
drjohnson_old_input,3.1677897096920535
exposure_playroom_input,3.7111742443461155
edge_bin_new_dark_input_post,3.4140742456187025
bin_new_medium_old_input_post,2.4567830897176446
truck_old_input,4.976088296122832
edge_drjohnson_old_input_post,4.378847620701405
edge_train_input,6.504921728844115
edge_playroom_old_input,2.9960305279466963
edge_drjohnson_input,5.667872326394758
both_pingpong_input_post,5.032225713933278
exposure_playroom_old_input_post,2.6820371684792272
both_train_input,6.314077207920599
edge_truck_old_input_post,5.6087829298098235
exposure_bin_new_medium_input,6.271009506255661
exposure_train_input,5.984754689022638
edge_bin_new_dark_input,3.4140814335163516
exposure_bin_new_dark_input_post,4.093204804637715
exposure_pingpong_input,4.4423309897465
exposure_images_dark_old_input_post,4.169176152382007
both_images_dark_input,4.306136509637271
both_train_old_input_post,5.719349944447051
edge_pingpong_old_input_post,2.948906991140502
exposure_drjohnson_input,4.520146203444127
exposure_truck_old_input,4.597342812323338
